VKM;Keeper Name;Country;Status;Website
AACH;Zakłady Azotowe Chorzów S.A.;PL;Revoked;azoty-adipol.pl
AAE;AAE GmbH;DE;in use;aae.ch
AAEC;VTG Schweiz GmbH;CH;in use;aae.ch
AAFB;Asociación de Amigos del Ferrocarril de Bilbao;ES;in use;aafbilbao.com
AAFM;Asociación de Amigos del Ferrocarril de Madrid;ES;in use;aafmadrid.es
AAPSL;Amicale des Agents de Paris St Lazare;FR;in use;
AB;Appenzeller Bahnen;CH;in use;appenzellerbahnen.ch
ABB;Hitachi Energy Sweden AB;SE;in use;hitachienergy.com
ABCAR;AB Prijevoz d.o.o.;HR;in use;
ABE;Ankum-Bersenbrücker Eisenbahn GmbH;DE;in use;abe-gmbh.net
ABEG;Anhaltinisch-Brandenburgische Eisenbahngesellschaft mbH;DE;in use;abeg-bahn.de
ABFC;Autorails de Bourgogne Franche-Comtè;FR;in use;x4039.free.fr
ABG;Anhaltische Bahngesellschaft;DE;in use;abg.dwe-web.info
ABI;Eurasia Int Trade;DE;in use;
ABLOG;AB Prevoz d.o.o.;RS;in use;
ABR;Abellio Rail GmbH;DE;Revoked;abeliio.de
ABRBW;SWEG Bahn Stuttgart GmbH;DE;Revoked;
ABRM;Abello Rail Mitteldeutschland GmbH;DE;in use;abellio.de
ABRN;Abellio Rail NRW GmbH;DE;in use;abellio.de
ABRRS;Road & Rail Service;DE;in use;road-rail-service.com
ABRS;Abellio Rail Baden-Württemberg GmbH;DE;Revoked;abellio.de
ABS;"Bartosz Sorokosz ""ABS"" Przedsiębiorstwo Usługowe";PL;in use;--
ABT;AB Tankvagnar;SE;in use;tankvagnar.se
ABTR;AB Transitio;SE;in use;transitio.se
ABVT;AB Vagon Trans s.r.o.;CZ;in use;
ACCIO;Acciona Infraestructuras;ES;in use;acciona.es
ACH;AlzChem Trostberg GmbH;DE;in use;alzchem.com
ACISA;Agrupación Cántabra de Construcción e Ingeniería (ACCISA);ES;in use;
ACPR;Amicale des Cheminots pour Préservation de la 141 R 1126;FR;in use;trainvapeur-toulouse.com
ACRL;AC Rail Sp. Z.o.o.;PL;in use;-
ACTS;ACTS Abroll-Container-Transport System AG;CH;Revoked;actsag.ch
ACTS;ACTS Nederland B.V.;NL;Revoked;acts-nl.com
ACTSB;ACTS Abroll-Container-Transport-Service AG;CH;in use;actsag.ch
ACTSL;ACTS Luxembourg;LU;in use;
ACV;Impresa A.C.V. S.r.l.;IT;in use;
AD;Angelner Dampfeisenbahn gGmbH;DE;in use;angelner-dampfeisenbahn.de
ADAM;Uwe Adam Transport;DE;in use;uwe-adam-transporte.de
ADE;A.D.E. Eisenbahnverkehrsunternehmen GmbH;DE;in use;
ADEGS;Ade Gas Oil Company SRL;RO;in use;adegas.ro
ADEPF;AUXILIAR DE PATRIMONIO FERROVIARIO;ES;in use;adepf.es
ADFER;ADRIAFER S.R.L.;IT;in use;adriader.com
ADGM;AD Gleisbau Mittelrhein GmbH;DE;in use;
ADHD;L'AUTORAIL X2800 DU HAUT-DOUBS (X2800HD);FR;in use;x2800-hd.com
ADIF;ADIF ( Administrador de Infraestructuras Ferroviarias);ES;in use;adif.es
ADKRS;ADK Rail service, s.r o.;CZ;in use;
ADMKR;Silo P Kruse Betriebs GmbH;DE;in use;
ADOCI;ADOÇIM ÇIMENTO BETON SAN VE TIC. A.Ş.;TR;in use;adocim.com
ADOSI;Advalue Dos Iberica S.L.;ES;in use;advalue2iberica.es
ADPF;ADP- Fertilizantes, S.A.;PT;in use;adp-fertilizantes.pt
ADRIA;ADRIA RAIL DOO;HR;in use;adria-rail.hr
ADSP;Autorita' di Sistema Portuale del Mar Ligure Orientale;IT;in use;adspmarligureorientale.it
ADT;Adria Transport D.O.O.;SI;in use;adria-transport.com
AED;Alpine-Energie Deutschland GmbH;DE;in use;alpine-energie.de
AERS;AERS Rail Services Deutchland GmbH;DE;in use;aers-rail-services.de
AEV;Achertaeler Eisenbahn Verein e.V;DE;in use;
AF;Albert Fischer GmbH;DE;in use;albert-fischer.de
AFFR;Arlington Fleet France;FR;in use;
AFG;Andreas Forster, Dienstleistungen Schienenverkehr;DE;in use;
AFL;AFL-Bahndienste GmbH;DE;in use;afl-bahndienste.de
AGA;AGA Gas AB;SE;Revoked;
AGC;AGC Flat Glass Czech a.s., člen AGC Group;CZ;in use;
AGE;Arbeitsgemeinschaft Geesthachter Eisenbahn e.V.;DE;in use;geesthachter-eisenbahn.de
AGIE;agilis Eisenbahngesellschaft mbH & Co. KG;DE;in use;agilis.de
AGIL;agilis Verkehrsgesellschaft mbH & Co. KG;DE;in use;agilis.de
AGIT;AGIT d.o.o.;HR;in use;agit.hr
AGJ;Anten-Gräfsnäs Järnväg;SE;in use;agj.net
AGK;AGK Rail GmbH;DE;in use;
AGL;Ardagh Glass Limmared AB;SE;in use;ardaghglass.com
AGPI;AGPI, a.s.;CZ;in use;
AGPJC;Agropodnik a.s. Jičín;CZ;in use;
AGPJI;AGROPODNIK, akciová společnost, Jihlava;CZ;in use;
AGRAD;AGRO Radomyšl a.s.;CZ;in use;
AGRCS;AGRO CS a.s.;CZ;in use;agrocs.cz
AGREM;AGREMOR MATERIAIS DE CONSTRUÇÃO E SERVIÇOS, S.A.;PT;in use;www.agremor.pt
AGRIA;AGRIVIA OIL EOOD;BG;in use;
AGRN;AGRANA ROMANIA;RO;in use;
AGROL;AGROL MATEJKA M. Sp. K;PL;in use;https://agrolmatejka.pl
AGROZ;Agro Žamberk a.s.;CZ;in use;
AGT;Allgemeine Gleis- und Tiefbau- Bauunternehmung GmbH;DE;in use;agt-mainz.de
AGTDU;ALTUN GLEIS UND TIEFBAU GMBH;DE;in use;agtgmbh.de
AGUAD;TRANSPORTES Y GRUAS AGUADO S.L.;ES;in use;gruasaguado.com
AGUPW;AGU Przedsiębiorstwo Wielobranżowe Szczepan Kuśmierek;PL;in use;
AGVAP;AGRIVAP;FR;in use;https://www.agrivap.fr
AH;ATLAS Hannover Baumaschinen GmbH & Co.;DE;in use;atlas-hannover.de
AHD;Rail system s.r.o;CZ;in use;
AHG;AHG Industry GmbH & Co. KG;DE;in use;ahg-industry.com
